29/01/2025 12:17:40 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 108) - System key is empty, initial registration of machine
29/01/2025 12:17:41 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 120) - Response Code : 0
29/01/2025 12:18:17 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: GetSerialNumber, Line: 371) - Calling ServerCertificateValidationCallback
29/01/2025 12:23:39 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 66) - Initialising new GBG Ctrl
29/01/2025 12:23:39 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 74) - Calling ServerCertificateValidationCallback
29/01/2025 12:23:39 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 85) - GBG url set
29/01/2025 12:23:39 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 96) - System key does not exist
29/01/2025 12:23:39 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 108) - System key is empty, initial registration of machine
29/01/2025 12:23:40 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 120) - Response Code : 0
29/01/2025 12:23:44 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: GetSerialNumber, Line: 371) - Calling ServerCertificateValidationCallback
29/01/2025 12:26:08 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 66) - Initialising new GBG Ctrl
29/01/2025 12:26:08 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 74) - Calling ServerCertificateValidationCallback
29/01/2025 12:26:08 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 85) - GBG url set
29/01/2025 12:26:08 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 96) - System key does not exist
29/01/2025 12:26:08 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 108) - System key is empty, initial registration of machine
29/01/2025 12:26:08 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 120) - Response Code : 0
29/01/2025 12:26:13 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: GetSerialNumber, Line: 371) - Calling ServerCertificateValidationCallback
29/01/2025 12:27:33 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 66) - Initialising new GBG Ctrl
29/01/2025 12:27:33 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 74) - Calling ServerCertificateValidationCallback
29/01/2025 12:27:33 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 85) - GBG url set
29/01/2025 12:27:33 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 96) - System key does not exist
29/01/2025 12:27:33 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 108) - System key is empty, initial registration of machine
29/01/2025 12:27:33 INFO (Project: SST.GBGCtrl, Class: GBGCtrl, Method: .ctor, Line: 120) - Response Code : 0
29/01/2025 12:27:34 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: GetSerialNumber, Line: 371) - Calling ServerCertificateValidationCallback
29/01/2025 12:29:27 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: GetSerialNumber, Line: 371) - Calling ServerCertificateValidationCallback
29/01/2025 12:29:43 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: GetSerialNumber, Line: 371) - Calling ServerCertificateValidationCallback
29/01/2025 12:31:42 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: GetSerialNumber, Line: 371) - Calling ServerCertificateValidationCallback
29/01/2025 12:31:58 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: GetSerialNumber, Line: 371) - Calling ServerCertificateValidationCallback
29/01/2025 12:32:30 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: GetSerialNumber, Line: 371) - Calling ServerCertificateValidationCallback
29/01/2025 12:33:52 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: GetSerialNumber, Line: 371) - Calling ServerCertificateValidationCallback
29/01/2025 12:35:21 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: GetSerialNumber, Line: 371) - Calling ServerCertificateValidationCallback
29/01/2025 12:35:36 DEBUG (Project: SST.GBGCtrl, Class: GBGCtrl, Method: CompleteSerialNumber, Line: 400) - Calling ServerCertificateValidationCallback
